Causa_peaton,Condicion_fisica,Edad,Num_expediente,Sexo,Tipo_persona,Tipo_vehiculo
No es debido al peatón,Herido leve,64,2015S001813,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido leve,41,2015S002146,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido grave,22,2015S004260,Hombre,Peatón,Turismo
No es debido al peatón,Herido leve,43,2015S006661,Mujer,Conductor,Turismo
No es debido al peatón,Herido leve,61,2015S005367,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,26,2015S007478,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,11,2015S009670,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,60,2015S005034,Mujer,Peatón,"Camión <= 3,5 Tm"
No es debido al peatón,Herido leve,22,2015S005376,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,0,2015S006999,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,32,2015S006999,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,85,2015S008836,Hombre,Peatón,Turismo
No es debido al peatón,Herido leve,41,2015S004422,Hombre,Pasajero,Motocicleta
No es debido al peatón,Herido leve,23,2015S002681,Mujer,Conductor,Turismo
No es debido al peatón,Herido leve,25,2015S000133,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,30,2015S008699,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,32,2015S001870,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,25,2015S003793,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,27,2015S003001,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,20,2015S004303,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,12,2015S003399,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido leve,31,2015S007516,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,45,2015S000567,Mujer,Conductor,Turismo
No es debido al peatón,Herido leve,62,2015S005220,Mujer,Peatón,Turismo
No es debido al peatón,Herido leve,31,2015S002471,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,27,2015S009226,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,49,2015S003919,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,30,2015S006429,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,30,2015S006429,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,39,2015S007118,Mujer,Conductor,Turismo
No es debido al peatón,Herido leve,37,2015S005201,Mujer,Conductor,Turismo
No es debido al peatón,Herido leve,37,2015S001735,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,70,2015S001086,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,38,2015S007547,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,33,2015S006843,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,26,2015S000640,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,45,2015S000974,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,38,2015S004304,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,23,2015S009508,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,59,2015S001606,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido leve,56,2015S004444,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,42,2015S008506,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,43,2015S004412,Mujer,Pasajero,Autobús
No es debido al peatón,Herido leve,34,2015S004862,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,45,2015S009574,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,26,2015S009756,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,39,2015S002705,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,46,2015S004135,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,26,2015S008772,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,48,2015S005421,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,38,2015S003420,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,28,2015S000199,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,33,2015S004987,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,16,2015S008593,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,25,2015S004386,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,26,2015S007079,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,29,2015S007079,Mujer,Conductor,Turismo
No es debido al peatón,Herido leve,38,2015S001894,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,31,2015S003154,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,1,2015S004556,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,33,2015S006132,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,38,2015S004387,Hombre,Conductor,Motocicleta
Cruzar por fuera paso de peatones,Herido leve,39,2015S003006,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido leve,5,2015S004116,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,19,2015S001795,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,39,2015S005702,Mujer,Peatón,Turismo
No es debido al peatón,Herido leve,53,2015S007415,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,28,2015S006074,Mujer,Pasajero,Taxi
No es debido al peatón,Herido leve,38,2015S005173,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido leve,36,2015S002091,Mujer,Peatón,Bicicleta
No es debido al peatón,Herido leve,46,2015S007837,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,20,2015S005913,Mujer,Peatón,Turismo
Desobedecer la señan del semáforo,Herido leve,82,2015S003777,Mujer,Peatón,Turismo
No es debido al peatón,Herido leve,21,2015S002133,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,28,2015S009946,Hombre,Conductor,Motocicleta
Otros,Herido leve,50,2015S001647,Hombre,Peatón,Turismo
No es debido al peatón,Herido leve,54,2015S007639,Hombre,Pasajero,Taxi
Otros,Herido leve,32,2015S006210,Mujer,Peatón,Turismo
No es debido al peatón,Herido leve,22,2015S000066,Hombre,Pasajero,Motocicleta
Cruzar por fuera paso de peatones,Herido grave,30,2015S002967,Mujer,Conductor,Bicicleta
No es debido al peatón,Herido leve,53,2015S003681,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,31,2015S008032,Mujer,Pasajero,Ciclomotor
Cruzar por fuera paso de peatones,Herido leve,22,2015S007435,Hombre,Conductor,Motocicleta
Cruzar por fuera paso de peatones,Herido leve,38,2015S002778,Hombre,Peatón,Bicicleta
Desobedecer la señan del semáforo,Herido leve,70,2015S002653,Mujer,Peatón,Autobús
No es debido al peatón,Herido leve,42,2015S008584,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,37,2015S008363,Mujer,Conductor,Motocicleta
Cruzar por fuera paso de peatones,Herido leve,6,2015S007187,Hombre,Peatón,Turismo
No es debido al peatón,Herido leve,3,2015S006542,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,30,2015S006542,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,53,2015S009589,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,40,2015S001526,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,44,2015S002611,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,38,2015S006558,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,67,2015S005241,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,19,2015S007059,Hombre,Conductor,Turismo
Otros,Herido leve,42,2015S009005,Hombre,Peatón,Bicicleta
No es debido al peatón,Herido leve,34,2015S006579,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,50,2015S009322,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,33,2015S008782,Mujer,Conductor,Turismo
No es debido al peatón,Herido leve,32,2015S004736,Hombre,Conductor,Motocicleta
Desobedecer la señan del semáforo,Herido leve,29,2015S000096,Hombre,Peatón,Ciclomotor
Cruzar por fuera paso de peatones,Herido leve,27,2015S001637,Hombre,Peatón,Motocicleta
No es debido al peatón,Herido leve,31,2015S005562,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,-1,2015S005996,Hombre,Pasajero,Furgoneta
Desobedecer la señan del semáforo,Herido leve,38,2015S007265,Mujer,Peatón,Motocicleta
No es debido al peatón,Herido leve,35,2015S006841,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,35,2015S001999,Mujer,Peatón,Taxi
No es debido al peatón,Herido leve,64,2015S005433,Hombre,Pasajero,Autobús
No es debido al peatón,Herido leve,81,2015S003352,Hombre,Peatón,Motocicleta
Cruzar por fuera paso de peatones,Herido leve,45,2015S008083,Hombre,Peatón,Motocicleta
No es debido al peatón,Herido leve,61,2015S007003,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,63,2015S006891,Mujer,Peatón,Bicicleta
No es debido al peatón,Herido leve,47,2015S001038,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,46,2015S009378,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,26,2015S000693,Mujer,Peatón,Motocicleta
No es debido al peatón,Herido leve,44,2015S005455,Hombre,Conductor,Motocicleta
Transitar a pie por la calzada,Herido leve,42,2015S003488,Hombre,Peatón,Turismo
No es debido al peatón,Herido leve,38,2015S003307,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,33,2015S008426,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,36,2015S005041,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido leve,49,2015S006257,Mujer,Conductor,Turismo
No es debido al peatón,Herido leve,36,2015S007787,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,28,2015S004907,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,26,2015S004799,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,33,2015S003098,Mujer,Conductor,Furgoneta
No es debido al peatón,Herido leve,27,2015S005285,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,53,2015S005275,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,19,2015S007856,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,20,2015S006604,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,56,2015S006604,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,26,2015S005414,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido leve,27,2015S010013,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,67,2015S007065,Mujer,Pasajero,Autobús
Otros,Herido leve,63,2015S007554,Mujer,Peatón,Turismo
No es debido al peatón,Herido leve,24,2015S002305,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,7,2015S002174,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,50,2015S007053,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,31,2015S006256,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,31,2015S004566,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,47,2015S009485,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,53,2015S009485,Hombre,Conductor,Turismo
Desobedecer otras señales,Herido leve,3,2015S005992,Hombre,Peatón,Turismo
No es debido al peatón,Herido leve,35,2015S000190,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,52,2015S009342,Mujer,Peatón,Taxi
No es debido al peatón,Herido leve,44,2015S004668,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,56,2015S007570,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,-1,2015S002833,Mujer,Peatón,Autobús
No es debido al peatón,Herido leve,30,2015S006238,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,28,2015S003076,Desconocido,Conductor,Motocicleta
No es debido al peatón,Herido leve,37,2015S006927,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,46,2015S008022,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,32,2015S004038,Mujer,Conductor,Ciclomotor
No es debido al peatón,Herido leve,47,2015S004615,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,28,2015S009842,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,48,2015S009075,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,57,2015S006389,Hombre,Conductor,Taxi
No es debido al peatón,Herido leve,2,2015S009942,Mujer,Pasajero,Otros vehíc. a motor
No es debido al peatón,Herido leve,38,2015S002742,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,26,2015S000962,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,40,2015S000850,Mujer,Pasajero,Autobús
No es debido al peatón,Herido leve,14,2015S008252,Mujer,Pasajero,Turismo
Otros,Herido leve,92,2015S000403,Hombre,Peatón,Turismo
No es debido al peatón,Herido leve,65,2015S009862,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,47,2015S009471,Hombre,Conductor,Furgoneta
No es debido al peatón,Herido leve,20,2015S004193,Mujer,Conductor,Ciclomotor
Desobedecer la señan del semáforo,Herido leve,36,2015S001084,Hombre,Peatón,Motocicleta
No es debido al peatón,Herido leve,28,2015S001097,Mujer,Pasajero,Taxi
No es debido al peatón,Herido leve,88,2015S001904,Mujer,Pasajero,Autobús
No es debido al peatón,Herido leve,33,2015S006468,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido leve,29,2015S004899,Hombre,Peatón,Furgoneta
No es debido al peatón,Herido leve,11,2015S003325,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,20,2015S003325,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,47,2015S003169,Hombre,Peatón,Taxi
No es debido al peatón,Herido leve,19,2015S001802,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,26,2015S003401,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,52,2015S003465,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,29,2015S000778,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,21,2015S002888,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,38,2015S002225,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,32,2015S007190,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,55,2015S003060,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,28,2015S003094,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,30,2015S006035,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido grave,48,2015S006506,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,52,2015S006978,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,31,2015S006294,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,36,2015S005846,Mujer,Pasajero,Taxi
No es debido al peatón,Herido leve,22,2015S000718,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido leve,44,2015S008528,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,26,2015S007498,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,46,2015S008423,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,32,2015S006785,Hombre,Pasajero,Autobús articulado
Otros,Herido grave,87,2015S009884,Mujer,Peatón,Turismo
No es debido al peatón,Herido leve,56,2015S006541,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,61,2015S001921,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,36,2015S001921,Hombre,Pasajero,Turismo
Cruzar por fuera paso de peatones,Herido leve,33,2015S002936,Mujer,Peatón,Motocicleta
Desobedecer la señan del semáforo,Herido leve,50,2015S004446,Hombre,Peatón,Furgoneta
No es debido al peatón,Herido leve,24,2015S008553,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,33,2015S007223,Hombre,Conductor,Motocicleta
Cruzar por fuera paso de peatones,Herido leve,26,2015S006878,Mujer,Peatón,Taxi
No es debido al peatón,Herido leve,61,2015S005379,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,38,2015S009988,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,27,2015S008323,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,30,2015S002453,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,33,2015S001691,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,43,2015S009887,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,39,2015S004473,Hombre,Pasajero,Motocicleta
No es debido al peatón,Herido leve,55,2015S008562,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,52,2015S001540,Hombre,Conductor,Motocicleta
